UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município,sem_formula,CODIGO_MUNICIPIO,LATITUDE,LONGITUDE
11,Rondônia,2,Leste Rondoniense,6,Cacoal,15,1100015,Alta Floresta D'Oeste,110001,110001,-11.92,-61.99
11,Rondônia,2,Leste Rondoniense,3,Ariquemes,23,1100023,Ariquemes,110002,110002,-9.91,-63.04
11,Rondônia,2,Leste Rondoniense,8,Colorado do Oeste,31,1100031,Cabixi,110003,110003,-13.49,-60.54
11,Rondônia,2,Leste Rondoniense,6,Cacoal,49,1100049,Cacoal,110004,110004,-11.43,-61.44
11,Rondônia,2,Leste Rondoniense,8,Colorado do Oeste,56,1100056,Cerejeiras,110005,110005,-13.18,-60.81
11,Rondônia,2,Leste Rondoniense,8,Colorado do Oeste,64,1100064,Colorado do Oeste,110006,110006,-13.11,-60.54
11,Rondônia,2,Leste Rondoniense,8,Colorado do Oeste,72,1100072,Corumbiara,110007,110007,-12.96,-60.88
11,Rondônia,1,Madeira-Guaporé,2,Guajará-Mirim,80,1100080,Costa Marques,110008,110008,-12.44,-64.22
11,Rondônia,2,Leste Rondoniense,6,Cacoal,98,1100098,Espigão D'Oeste,110009,110009,-11.52,-61.01
11,Rondônia,1,Madeira-Guaporé,2,Guajará-Mirim,106,1100106,Guajará-Mirim,110010,110010,-10.78,-65.33
11,Rondônia,2,Leste Rondoniense,4,Ji-Paraná,114,1100114,Jaru,110011,110011,-10.43,-62.46
11,Rondônia,2,Leste Rondoniense,4,Ji-Paraná,122,1100122,Ji-Paraná,110012,110012,-10.88,-61.94
11,Rondônia,2,Leste Rondoniense,3,Ariquemes,130,1100130,Machadinho D'Oeste,110013,110013,-9.44,-61.98
11,Rondônia,2,Leste Rondoniense,5,Alvorada D'Oeste,148,1100148,Nova Brasilândia D'Oeste,110014,110014,-11.72,-62.33
11,Rondônia,2,Leste Rondoniense,4,Ji-Paraná,155,1100155,Ouro Preto do Oeste,110015,110015,-10.71,-62.24
11,Rondônia,2,Leste Rondoniense,7,Vilhena,189,1100189,Pimenta Bueno,110018,110018,-11.67,-61.19
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,205,1100205,Porto Velho,110020,110020,-8.76,-63.9
11,Rondônia,2,Leste Rondoniense,4,Ji-Paraná,254,1100254,Presidente Médici,110025,110025,-11.17,-61.9
11,Rondônia,2,Leste Rondoniense,3,Ariquemes,262,1100262,Rio Crespo,110026,110026,-9.7,-62.9
11,Rondônia,2,Leste Rondoniense,6,Cacoal,288,1100288,Rolim de Moura,110028,110028,-11.73,-61.77
11,Rondônia,2,Leste Rondoniense,6,Cacoal,296,1100296,Santa Luzia D'Oeste,110029,110029,-11.9,-61.77
11,Rondônia,2,Leste Rondoniense,7,Vilhena,304,1100304,Vilhena,110030,110030,-12.74,-60.14
11,Rondônia,2,Leste Rondoniense,5,Alvorada D'Oeste,320,1100320,São Miguel do Guaporé,110032,110032,-11.68,-62.68
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,338,1100338,Nova Mamoré,110033,110033,-10.41,-65.33
11,Rondônia,2,Leste Rondoniense,5,Alvorada D'Oeste,346,1100346,Alvorada D'Oeste,110034,110034,-11.4,-62.38
11,Rondônia,2,Leste Rondoniense,6,Cacoal,379,1100379,Alto Alegre dos Parecis,110037,110037,-12.12,-61.85
11,Rondônia,2,Leste Rondoniense,3,Ariquemes,403,1100403,Alto Paraíso,110040,110040,-9.71,-63.32
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,452,1100452,Buritis,110045,110045,-10.21,-63.82
11,Rondônia,2,Leste Rondoniense,6,Cacoal,502,1100502,Novo Horizonte do Oeste,110050,110050,-11.71,-62
11,Rondônia,2,Leste Rondoniense,3,Ariquemes,601,1100601,Cacaulândia,110060,110060,-10.34,-62.89
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,700,1100700,Campo Novo de Rondônia,110070,110070,-10.57,-63.62
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,809,1100809,Candeias do Jamari,110080,110080,-8.79,-63.7
11,Rondônia,2,Leste Rondoniense,6,Cacoal,908,1100908,Castanheiras,110090,110090,-11.42,-61.95
11,Rondônia,2,Leste Rondoniense,7,Vilhena,924,1100924,Chupinguaia,110092,110092,-12.55,-60.9
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,940,1100940,Cujubim,110094,110094,-9.36,-62.58
11,Rondônia,2,Leste Rondoniense,4,Ji-Paraná,1005,1101005,Governador Jorge Teixeira,110100,110100,-10.6,-62.73
11,Rondônia,1,Madeira-Guaporé,1,Porto Velho,1104,1101104,Itapuã do Oeste,110110,110110,-9.2,-63.18
11,Rondônia,2,Leste Rondoniense,6,Cacoal,1203,1101203,Ministro Andreazza,110120,110120,-11.19,-61.51
